word,type
angrily,r
angry,a
angst,n
angstroms,n
anguish,n
anguished,v
anguishes,n
angular,a
angularity,n
anhydrous,a
anil,n
aniline,n
animal,n
animals,n
animate,v
animated,v
animatedly,r
animates,v
animating,v
animation,n
animations,n
animator,n
animators,n
animism,n
animist,n
animists,n
animosities,n
animosity,n
animus,n
anion,n
anionic,n
anions,n
anise,n
aniseed,n
aniseeds,n
anisotropic,a
anisotropies,n
anisotropy,n
ankara,n
ankle,n
ankles,n
anklet,n
anklets,n
anna,n
annal,
annals,n
anneal,v
annealed,v
annealer,
annealing,n
annex,n
annexation,n
annexations,n
annexe,n
annexed,v
annexes,n
annexing,v
annihilate,v
annihilated,v
annihilates,v
annihilating,v
annihilation,n
anniversaries,n
anniversary,n
annotate,v
annotated,v
annotates,v
annotating,n
annotation,n
annotations,n
announce,v
announced,v
announcement,n
announcements,n
announcer,n
announcers,n
announces,v
announcing,v
annoy,v
annoyance,n
annoyances,n
annoyed,v
annoyer,n
annoyers,n
annoying,n
annoyingly,r
annoys,v
annual,n
annualised,
annually,r
annuals,n
annuities,n
annuity,n
annul,v
annular,s
annuli,n
annulled,v
annulling,v
annulment,n
annuls,v
annulus,n
annunciation,n
anode,n
anodes,n
anodised,v
anodyne,n
anoint,v
anointed,v
anointing,n
anoints,v
anomalies,n
anomalous,s
anomalously,r
anomaly,n
anomic,s
anon,r
anonym,n
anonymity,n
anonymous,a
anonymously,r
anonyms,n
anorak,n
anoraks,n
anorexia,n
anorexic,n
another,s
answer,n
answerable,s
answered,v
answerer,n
answering,v
answers,n
ant,n
antacid,n
antacids,n
antagonise,v
antagonised,v
antagonises,v
antagonising,v
antagonism,n
antagonisms,n
antagonist,n
antagonistic,s
antagonists,n
ante,n
anteater,n
anteaters,n
antecedent,n
antecedents,n
antechamber,n
antedate,v
antedates,v
antedating,v
antediluvian,n
antelope,n
antelopes,n
antenatal,a
antenna,n
antennae,n
antennas,n
anterior,n
anteriorly,r
anteroom,n
anthem,n
anthems,n
anther,n
anthologies,n
anthologise,v
anthologised,v
anthology,n
anthracite,n
anthrax,n
anthropic,a
anthropocentric,a
anthropogenic,a
anthropogenically,
anthropoid,n
anthropological,a
anthropologist,n
anthropologists,n
anthropology,n
anthropometric,a
anthropomorphic,s
anthropomorphising,v
anthropomorphism,n
anti,n
antiabortionists,
antiaircraft,n
antibiotic,n
antibiotics,n
antibodies,n
antibody,n
antic,n
anticipate,v
anticipated,v
anticipates,v
anticipating,v
anticipation,n
anticipations,n
anticipative,s
anticipatory,s
anticlimax,n
anticlockwise,a
anticoagulants,n
anticonstitutional,
antics,n
anticyclone,n
antidepressant,n
antidepressants,n
antidote,n
antidotes,n
antifreeze,n
antigen,n
antigenic,a
antigens,n
antihistamines,n
antilope,n
antimatter,n
antimony,n
antioxidants,n
antiparticles,n
antipathetic,s
antipathies,n
antipathy,n
antipodes,n
antiquarian,n
antiquarianism,
antiquarians,n
antiquaries,n
antiquary,n
antiquated,v
antique,n
antiques,n
antiquities,n
antiquity,n
antiseptic,n
antiseptics,n
antisocial,s
antistatic,
antisymmetric,
antisymmetry,
antitheses,n
antithesis,n
antithetic,s
antithetical,s
antithetically,r
antitrust,s
antiviral,n
antler,n
antlers,n
antlion,n
antlions,n
antonym,n
antonyms,n
antral,
antrum,n
ants,n
antwerp,n
anus,n
anvil,n
anvils,n
anxieties,n
anxiety,n
anxious,s
anxiously,r
any,s
anybody,
anyhow,r
anymore,r
anyone,
anyplace,r
anything,
anyway,r
anyways,r
anywhere,r
aorist,n
aorta,n
aortas,n
aortic,a
apace,r
apache,n
apaches,n
apart,s
apartment,n
apartments,n
apartness,
apathetic,s
apathetically,r
apathy,n
ape,n
aped,v
apeman,
aperies,n
aperiodic,a
aperiodically,
aperitif,n
aperitifs,n
aperture,n
apertures,n
apery,n
apes,n
apex,n
aphasia,n
aphelion,n
aphid,n
aphids,n
aphorism,n
aphorisms,n
aphorist,n
aphoristic,a
aphrodisiac,n
aphrodisiacs,n
apian,a
apiaries,n
apiarist,n
apiary,n
apiece,r
aping,v
apis,n
apish,s
aplenty,
aplomb,n
apnea,n
apnoea,
apocalypse,n
apocalyptic,s
apocryphal,s
apogee,n
